core_count,concurrency,requests,success,errors,success_rate,elapsed_s,qps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
1,1,1,1,0,100.0,10.081,0.099,10080.555,10080.555,10080.555,10080.555,10080.555
1,2,2,2,0,100.0,17.141,0.117,15458.875,15458.875,16804.837,16973.082,17107.678
1,4,4,4,0,100.0,23.769,0.168,21366.238,21369.194,23285.61,23524.904,23716.339
1,8,8,8,0,100.0,43.156,0.185,37000.766,38694.42,41189.141,42172.101,42958.468
2,1,1,1,0,100.0,6.772,0.148,6771.966,6771.966,6771.966,6771.966,6771.966
2,2,2,2,0,100.0,9.084,0.22,7909.307,7909.307,8847.732,8965.035,9058.877
2,4,4,4,0,100.0,15.777,0.254,13593.307,14193.655,15483.726,15630.12,15747.235
2,8,8,8,0,100.0,25.329,0.316,22076.372,23005.741,23933.486,24629.53,25186.364
4,1,2,2,0,100.0,5.817,0.344,2908.614,2908.614,3075.389,3096.236,3112.913
4,2,3,3,0,100.0,7.585,0.396,4221.4,3867.954,4837.423,4958.607,5055.554
4,4,4,4,0,100.0,8.437,0.474,7377.537,7742.181,8260.025,8347.551,8417.573
4,8,8,8,0,100.0,13.885,0.576,12381.128,12847.203,13442.512,13663.15,13839.661
8,1,3,3,0,100.0,5.065,0.592,1688.185,1705.9,1773.437,1781.879,1788.633
8,2,5,5,0,100.0,6.72,0.744,2479.324,2461.765,2881.665,2966.423,3034.229
8,4,8,8,0,100.0,7.645,1.046,3452.423,3424.982,4172.353,4263.022,4335.558
8,8,10,10,0,100.0,8.516,1.174,5659.114,5581.749,7320.059,7380.784,7429.364
