core_count,workers,ort_threads,concurrency,requests,success,errors,success_rate,elapsed_s,qps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms
8,1,1,8,8,8,0,100.0,7.02,1.14,6193.497,6196.666,7003.212,7009.852,7015.164
8,1,1,16,16,16,0,100.0,12.112,1.321,11063.45,11523.951,12081.031,12090.333,12107.718
8,1,2,8,9,9,0,100.0,7.53,1.195,5926.352,6601.808,6800.276,6811.617,6820.689
8,1,2,16,16,16,0,100.0,12.806,1.249,12256.257,12440.887,12793.635,12794.784,12797.098
8,2,1,8,8,8,0,100.0,7.187,1.113,6585.572,6598.287,7134.856,7156.456,7173.736
8,2,1,16,16,16,0,100.0,12.074,1.325,11484.492,11562.252,12025.694,12040.667,12056.871
8,2,2,8,8,8,0,100.0,7.563,1.058,6253.486,6047.296,7414.449,7488.479,7547.702
8,2,2,16,16,11,5,68.75,90.067,0.122,8932.169,8814.789,9485.45,9493.344,9499.66
8,4,1,8,8,8,0,100.0,6.914,1.157,6303.343,6212.239,6898.276,6906.185,6912.513
8,4,1,16,16,12,4,75.0,90.063,0.133,8867.264,9369.963,9480.907,9487.621,9492.562
8,4,2,8,8,8,0,100.0,8.701,0.919,7555.339,7909.403,8637.339,8667.78,8692.134
8,4,2,16,16,16,0,100.0,15.337,1.043,13455.207,13758.349,15138.332,15200.451,15309.539
